# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
constituency,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
constructively,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
contained,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
critically,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
daughter's,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
detailed,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
determine,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
dialects,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
dialogue,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
dilemma,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
dose,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
due,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
dwindling,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
elderly,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
emerge,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
empowered,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
empowering,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
euthanasia,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
exceptions,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
favelas,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
feeding,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
finance,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
firmly,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
flowers,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
fond,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
freaked,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
friendships,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
fundamental,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
gardener,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
gaza,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
gemma,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
gloria,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
governments,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
graph,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
habit,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
habits,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
hearts,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
heyday,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
highschool,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
hopes,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
hosting,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
hunter,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
imagined,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
immortal,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
impossible,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
increasing,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
incredibly,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
initiated,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
inspire,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
inspired,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
interestingly,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
internationally,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
internships,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
invited,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
jim,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
kindness,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
launch,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
lived,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
lobby,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
longevity,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
loosely,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
magical,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
messing,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
mightier,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
momentum,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
motivates,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
motivations,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
neighbours,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
ngos,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
nonviolence,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
nutrient,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
oath,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
oau,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
occurs,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
olympics,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
opponent,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
organizations,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
outcomes,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
pardon,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
pashto,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
peaceful,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
phrase,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
physicist,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
piss,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
placing,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
poetry,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
poisoned,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
poisonous,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
proceeds,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
produces,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
progress,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
progressing,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
prolong,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
promising,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
provided,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
pushed,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
questioning,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
rapidly,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
recorded,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
refine,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
regains,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
regarded,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
relation,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
relatives,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
remembered,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
responsibility,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
restricted,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
robinson,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
roger,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
rooted,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
scenario,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
seb,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
shaping,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
skewed,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
somalia,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
sounded,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
spectrum,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
spoke,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
sport,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
sri,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
statements,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
steinem,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
stopped,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
stronger,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
studies,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
sturdy,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
subjects,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
surrounded,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
surveys,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
swore,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
symbolism,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
taxes,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
tends,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
there'd,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
topics,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
tucked,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
undoubtedly,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
utmost,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
validation,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
vibrance,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
violence,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
walked,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
ward,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
wasted,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
weekend,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
whose,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
youngest,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
