# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
let,0,10,0.800,16,0.500,safe,P(correct)=0.80 on 10 decoded; recall=0.50 on 16 ref occurrences
part,1,12,0.500,13,0.462,safe,P(correct)=0.50 on 12 decoded; recall=0.46 on 13 ref occurrences
remember,3,9,0.778,14,0.500,safe,P(correct)=0.78 on 9 decoded; recall=0.50 on 14 ref occurrences
still,2,14,0.286,10,0.500,safe,P(correct)=0.29 on 14 decoded; recall=0.50 on 10 ref occurrences
we've,2,10,0.700,14,0.714,safe,P(correct)=0.70 on 10 decoded; recall=0.71 on 14 ref occurrences
whatever,2,12,0.667,12,0.750,safe,P(correct)=0.67 on 12 decoded; recall=0.75 on 12 ref occurrences
become,1,11,0.727,13,0.692,safe,P(correct)=0.73 on 11 decoded; recall=0.69 on 13 ref occurrences
body,0,12,0.750,13,0.692,safe,P(correct)=0.75 on 12 decoded; recall=0.69 on 13 ref occurrences
book,3,8,0.500,14,0.286,safe,P(correct)=0.50 on 8 decoded; recall=0.29 on 14 ref occurrences
certain,2,11,0.636,12,0.667,safe,P(correct)=0.64 on 11 decoded; recall=0.67 on 12 ref occurrences
difficult,0,12,0.833,13,0.769,safe,P(correct)=0.83 on 12 decoded; recall=0.77 on 13 ref occurrences
done,4,11,0.364,10,0.500,safe,P(correct)=0.36 on 11 decoded; recall=0.50 on 10 ref occurrences
everybody,4,7,0.857,14,0.500,safe,P(correct)=0.86 on 7 decoded; recall=0.50 on 14 ref occurrences
example,0,13,0.769,12,0.833,safe,P(correct)=0.77 on 13 decoded; recall=0.83 on 12 ref occurrences
food,0,12,0.750,13,0.769,safe,P(correct)=0.75 on 12 decoded; recall=0.77 on 13 ref occurrences
i'd,8,7,0.286,10,0.500,safe,P(correct)=0.29 on 7 decoded; recall=0.50 on 10 ref occurrences
such,2,11,0.545,12,0.500,safe,P(correct)=0.55 on 11 decoded; recall=0.50 on 12 ref occurrences
went,10,9,0.444,6,0.667,safe,P(correct)=0.44 on 9 decoded; recall=0.67 on 6 ref occurrences
bad,2,10,0.800,12,0.750,safe,P(correct)=0.80 on 10 decoded; recall=0.75 on 12 ref occurrences
